full_name	name	state	country	latitude	longitude	timezone
Sapporo, Hokkaido, Japan	Sapporo	Hokkaido	Japan	43.06667	141.35	Asia/Tokyo
Accra, Greater Accra, Ghana	Accra	Greater Accra	Ghana	5.55602	-0.1969	Africa/Accra
Curitiba, Parana, Brazil	Curitiba	Parana	Brazil	-25.42778	-49.27306	America/Sao_Paulo
Ordos, Inner Mongolia, China	Ordos	Inner Mongolia	China	39.6086	109.78157	Asia/Shanghai
Sanaa, Amanat Alasimah, Yemen	Sanaa	Amanat Alasimah	Yemen	15.35472	44.20667	Asia/Aden
Conakry, Guinea	Conakry	Conakry	Guinea	9.53795	-13.67729	Africa/Conakry
Tijuana, Baja California, Mexico	Tijuana	Baja California	Mexico	32.5027	-117.00371	America/Tijuana
Beirut, Beyrouth, Lebanon	Beirut	Beyrouth	Lebanon	33.89332	35.50157	Asia/Beirut
Tangerang, Banten, Indonesia	Tangerang	Banten	Indonesia	-6.17806	106.63	Asia/Jakarta
Jieyang, Guangdong, China	Jieyang	Guangdong	China	23.5418	116.36581	Asia/Shanghai
Jilin, China	Jilin	Jilin	China	43.85083	126.56028	Asia/Shanghai
Bucharest, Bucuresti, Romania	Bucharest	Bucuresti	Romania	44.43225	26.10626	Europe/Bucharest
Camayenne, Conakry, Guinea	Camayenne	Conakry	Guinea	9.535	-13.68778	Africa/Conakry
Kakamega, Kakamega County, Kenya	Kakamega	Kakamega County	Kenya	0.28422	34.75229	Africa/Nairobi
Nanchong, Sichuan, China	Nanchong	Sichuan	China	30.79508	106.08473	Asia/Shanghai
Datong, Shanxi, China	Datong	Shanxi	China	40.09361	113.29139	Asia/Shanghai
Kaduna, Kaduna State, Nigeria	Kaduna	Kaduna State	Nigeria	10.52641	7.43879	Africa/Lagos
Hamburg, Germany	Hamburg	Hamburg	Germany	53.55073	9.99302	Europe/Berlin
Indore, Madhya Pradesh, India	Indore	Madhya Pradesh	India	22.71792	75.8333	Asia/Kolkata
Santa Cruz de la Sierra, Santa Cruz Department, Bolivia	Santa Cruz de la Sierra	Santa Cruz Department	Bolivia	-17.78629	-63.18117	America/La_Paz
Vadodara, Gujarat, India	Vadodara	Gujarat	India	22.29941	73.20812	Asia/Kolkata
Iztapalapa, Mexico City, Mexico	Iztapalapa	Mexico City	Mexico	19.35529	-99.06224	America/Mexico_City
Nanyang, Henan, China	Nanyang	Henan	China	32.99472	112.53278	Asia/Shanghai
Gaziantep, Turkey	Gaziantep	Gaziantep	Turkey	37.05944	37.3825	Europe/Istanbul
Abu Dhabi, United Arab Emirates	Abu Dhabi	Abu Dhabi	United Arab Emirates	24.45118	54.39696	Asia/Dubai
Jiangmen, Guangdong, China	Jiangmen	Guangdong	China	22.58333	113.08333	Asia/Shanghai
Diyarbakir, Diyarbakir Province, Turkey	Diyarbakir	Diyarbakir Province	Turkey	37.91363	40.21721	Europe/Istanbul
Benin City, Edo State, Nigeria	Benin City	Edo State	Nigeria	6.33815	5.62575	Africa/Lagos
Jiangyin, Jiangsu, China	Jiangyin	Jiangsu	China	31.91102	120.26302	Asia/Shanghai
Adana, Turkey	Adana	Adana	Turkey	36.98615	35.32531	Europe/Istanbul
Davao, Davao Region, Philippines	Davao	Davao Region	Philippines	7.07306	125.61278	Asia/Manila
Fuyang, Anhui, China	Fuyang	Anhui	China	32.9	115.81667	Asia/Shanghai
Montreal, Quebec, Canada	Montreal	Quebec	Canada	45.50884	-73.58781	America/Toronto
Bayan Nur, Inner Mongolia, China	Bayan Nur	Inner Mongolia	China	40.74143	107.38599	Asia/Shanghai
Maracay, Aragua, Venezuela	Maracay	Aragua	Venezuela	10.23535	-67.59113	America/Caracas
Chaozhou, Guangdong, China	Chaozhou	Guangdong	China	23.65396	116.62262	Asia/Shanghai
Rawalpindi, Punjab, Pakistan	Rawalpindi	Punjab	Pakistan	33.59733	73.0479	Asia/Karachi
Minsk, Minsk City, Belarus	Minsk	Minsk City	Belarus	53.9	27.56667	Europe/Minsk
Budapest, Hungary	Budapest	Budapest	Hungary	47.49835	19.04045	Europe/Budapest
Qingyuan, Guangdong, China	Qingyuan	Guangdong	China	23.7	113.03333	Asia/Shanghai
Tai'an, Shandong, China	Tai'an	Shandong	China	36.18528	117.12	Asia/Shanghai
Leon de los Aldama, Guanajuato, Mexico	Leon de los Aldama	Guanajuato	Mexico	21.12908	-101.67374	America/Mexico_City
Warsaw, Mazovia, Poland	Warsaw	Mazovia	Poland	52.22977	21.01178	Europe/Warsaw
Soweto, Gauteng, South Africa	Soweto	Gauteng	South Africa	-26.26781	27.85849	Africa/Johannesburg
Puebla, Mexico	Puebla	Puebla	Mexico	19.03793	-98.20346	America/Mexico_City
Vienna, Austria	Vienna	Vienna	Austria	48.20849	16.37208	Europe/Vienna
Mosul, Nineveh, Iraq	Mosul	Nineveh	Iraq	36.335	43.11889	Asia/Baghdad
Kallakurichi, Tamil Nadu, India	Kallakurichi	Tamil Nadu	India	11.73379	78.95925	Asia/Kolkata
Xining, Qinghai, China	Xining	Qinghai	China	36.62554	101.75739	Asia/Shanghai
Changshu, Jiangsu, China	Changshu	Jiangsu	China	31.64615	120.74221	Asia/Shanghai
Palembang, South Sumatra, Indonesia	Palembang	South Sumatra	Indonesia	-2.91673	104.7458	Asia/Jakarta
Huainan, Anhui, China	Huainan	Anhui	China	32.62639	116.99694	Asia/Shanghai
Rabat, Rabat-Sale-Kenitra, Morocco	Rabat	Rabat-Sale-Kenitra	Morocco	34.01325	-6.83255	Africa/Casablanca
Semarang, Central Java, Indonesia	Semarang	Central Java	Indonesia	-6.99306	110.42083	Asia/Jakarta
Recife, Pernambuco, Brazil	Recife	Pernambuco	Brazil	-8.05389	-34.88111	America/Recife
Suzhou, Anhui, China	Suzhou	Anhui	China	33.63611	116.97889	Asia/Shanghai
Ecatepec de Morelos, Mexico	Ecatepec de Morelos	Mexico	Mexico	19.60492	-99.06064	America/Mexico_City
Lu'an, Anhui, China	Lu'an	Anhui	China	31.73561	116.51688	Asia/Shanghai
Barcelona, Catalonia, Spain	Barcelona	Catalonia	Spain	41.38879	2.15899	Europe/Madrid
Valencia, Carabobo, Venezuela	Valencia	Carabobo	Venezuela	10.16202	-68.00765	America/Caracas
Pretoria, Gauteng, South Africa	Pretoria	Gauteng	South Africa	-25.74486	28.18783	Africa/Johannesburg
Yancheng, Jiangsu, China	Yancheng	Jiangsu	China	33.3575	120.1573	Asia/Shanghai
Novosibirsk, Novosibirsk Oblast, Russia	Novosibirsk	Novosibirsk Oblast	Russia	55.0415	82.9346	Asia/Novosibirsk
Erbil, Arbil, Iraq	Erbil	Arbil	Iraq	36.18333	44.01193	Asia/Baghdad
Phoenix, Arizona, United States	Phoenix	Arizona	United States	33.44838	-112.07404	America/Phoenix
Taizhou, Jiangsu, China	Taizhou	Jiangsu	China	32.49069	119.90812	Asia/Shanghai
Daqing, Heilongjiang, China	Daqing	Heilongjiang	China	46.58333	125	Asia/Shanghai
